Test (2C): unreliable agreement ...
003291 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:-1
033362 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:1,我的任期:10，lastterm:0,lastlogindex:0
033375 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:10，lastterm:0,lastlogindex:0
033388 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:10，lastterm:0,lastlogindex:0
033432 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:10，lastterm:0,lastlogindex:0
033432 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:1,我的任期:10，lastterm:0,lastlogindex:0
033433 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:0
033433 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:0
033505 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:11，lastterm:0,lastlogindex:0
033516 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:1,我的任期:10，lastterm:0,lastlogindex:0
033517 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:0
033527 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:11，lastterm:0,lastlogindex:0
033528 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:10，lastterm:0,lastlogindex:0
036439 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:0,我的voteFor:2
036440 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 10
036453 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
036464 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
036476 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
036489 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
036489 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
036490 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
036554 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:11，lastterm:0,lastlogindex:0
036575 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:0
036575 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 11
036577 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:11，lastterm:0,lastlogindex:0
036577 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器投票回复:0, 对方是否为我投票:true
036578 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
036589 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
036590 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:11，lastterm:0,lastlogindex:0
036601 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
036614 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
036614 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
036615 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:11，lastterm:0,lastlogindex:0
036615 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
036616 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
036627 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:12，lastterm:0,lastlogindex:0
036640 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:12，lastterm:0,lastlogindex:0
036662 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:11，lastterm:0,lastlogindex:0
036664 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:1
036861 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:12，lastterm:0,lastlogindex:0
036925 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:0
036926 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 11
036947 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
036961 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
036973 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
036985 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
036985 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
036986 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
037001 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:1,我的任期:12，lastterm:0,lastlogindex:0
037033 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:12，lastterm:0,lastlogindex:0
037121 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:1,我的任期:12，lastterm:0,lastlogindex:0
037145 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:0,我的任期:12，lastterm:0,lastlogindex:0
037228 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:0,我的任期:12，lastterm:0,lastlogindex:0
037272 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:0,我的任期:12，lastterm:0,lastlogindex:0
039799 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:1
039800 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 12
039813 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
039825 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
039837 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
039838 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:0,我的voteFor:1
039838 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 12
039840 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:12，lastterm:0,lastlogindex:0
039842 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:0
039850 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
039850 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
039850 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
039851 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
039862 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
039874 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
039886 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
039887 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
039887 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:1,我的任期:13，lastterm:0,lastlogindex:0
039887 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:13，lastterm:0,lastlogindex:0
039887 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
039888 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:13，lastterm:0,lastlogindex:0
039912 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:12，lastterm:0,lastlogindex:0
039914 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:4
040074 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:1,我的任期:13，lastterm:0,lastlogindex:0
040118 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:1,我的任期:12，lastterm:0,lastlogindex:0
040119 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:4
040129 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:0,我的任期:13，lastterm:0,lastlogindex:0
040151 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:13，lastterm:0,lastlogindex:0
040152 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:4
040235 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:0,我的任期:13，lastterm:0,lastlogindex:0
042964 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:4
042965 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 13
042978 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
042991 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
043003 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
043015 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
043016 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
043016 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
043131 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:1,我的voteFor:4
043132 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:13，lastterm:0,lastlogindex:0
043132 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 13
043133 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
043144 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
043144 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:13，lastterm:0,lastlogindex:0
043145 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:14，lastterm:0,lastlogindex:0
043145 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
043156 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
043170 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
043182 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:14，lastterm:0,lastlogindex:0
043183 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
043183 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
043183 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:14，lastterm:0,lastlogindex:0
043183 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
043217 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:14，lastterm:0,lastlogindex:0
043240 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:13，lastterm:0,lastlogindex:0
043242 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
043315 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:14，lastterm:0,lastlogindex:0
046439 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:1,我的voteFor:4
046440 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 14
046442 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:14，lastterm:0,lastlogindex:0
046443 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:4
046443 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器投票回复:0, 对方是否为我投票:true
046464 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
046475 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
046487 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
046487 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
046487 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
046531 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:14，lastterm:0,lastlogindex:0
046532 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:4
046636 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:14，lastterm:0,lastlogindex:0
046639 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:4
046670 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:14，lastterm:0,lastlogindex:0
046672 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:4
046792 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:15，lastterm:0,lastlogindex:0
046794 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:4
049540 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:4
049541 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 15
049554 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
049557 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:0,我的任期:15，lastterm:0,lastlogindex:0
049558 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器投票回复:2, 对方是否为我投票:true
049559 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:0
049578 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
049590 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
049590 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
049590 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
049602 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:15，lastterm:0,lastlogindex:0
049604 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:0
049614 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:0,我的任期:15，lastterm:0,lastlogindex:0
049616 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:0
049851 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:1,我的任期:15，lastterm:0,lastlogindex:0
049853 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:0
052590 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:0
052592 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 16
052605 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
052619 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
052630 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
052642 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
052643 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
052643 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
052798 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:0,我的任期:16，lastterm:0,lastlogindex:0
052800 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:2
052809 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:1,我的任期:16，lastterm:0,lastlogindex:0
052810 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:16，lastterm:0,lastlogindex:0
052811 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:2
052811 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:2
052853 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:0,我的任期:16，lastterm:0,lastlogindex:0
052855 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:2
055863 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:2
055865 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 17
055876 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:2
055884 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 17
055896 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
055896 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
055908 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
055910 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
055921 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
055922 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
055933 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
055933 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
055933 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
055934 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
055934 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
055934 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
055948 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:1,我的任期:18，lastterm:0,lastlogindex:0
055949 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:0,我的任期:17，lastterm:0,lastlogindex:0
055950 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:0
056096 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:1,我的任期:17，lastterm:0,lastlogindex:0
056098 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
056110 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:18，lastterm:0,lastlogindex:0
056132 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:18，lastterm:0,lastlogindex:0
056208 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:0,我的任期:17，lastterm:0,lastlogindex:0
056211 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:0
056322 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:0,我的任期:18，lastterm:0,lastlogindex:0
059297 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:0,我的voteFor:0
059299 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 18
059313 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
059327 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
059338 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:1,我的voteFor:0
059339 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 18
059339 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
059351 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
059352 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
059353 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
059353 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
059365 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
059365 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:0,我的任期:18，lastterm:0,lastlogindex:0
059366 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:3
059367 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:1,我的任期:18，lastterm:0,lastlogindex:0
059369 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:3
059371 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:0,我的任期:19，lastterm:0,lastlogindex:0
059376 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
059388 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
059389 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
059389 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
059411 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:0,我的任期:18，lastterm:0,lastlogindex:0
059412 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:0
059487 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:0,我的任期:19，lastterm:0,lastlogindex:0
059503 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:1,我的任期:19，lastterm:0,lastlogindex:0
059529 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:19，lastterm:0,lastlogindex:0
059568 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:1,我的任期:19，lastterm:0,lastlogindex:0
059649 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:1,我的任期:19，lastterm:0,lastlogindex:0
062539 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:0,我的voteFor:0
062540 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 19
062553 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
062565 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
062578 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
062579 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:0,我的任期:19，lastterm:0,lastlogindex:0
062581 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:4
062590 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
062591 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
062591 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
062717 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:1,我的任期:19，lastterm:0,lastlogindex:0
062719 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:19，lastterm:0,lastlogindex:0
062719 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:4
062720 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:4
062772 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:1,我的任期:19，lastterm:0,lastlogindex:0
062773 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:4
065680 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:1,我的voteFor:4
065681 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 20
065694 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
065707 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
065719 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
065732 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
065733 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
065733 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
065775 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:4
065776 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 20
065788 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
065801 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
065814 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:20，lastterm:0,lastlogindex:0
065814 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
065814 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:0,我的任期:20，lastterm:0,lastlogindex:0
065815 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
065815 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
065828 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
065828 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
065828 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
065904 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:20，lastterm:0,lastlogindex:0
065906 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:4
065907 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:21，lastterm:0,lastlogindex:0
065916 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:21，lastterm:0,lastlogindex:0
